epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6193.71,0.59057,0.39361,0.85949,0.99119,0.99317,0.99444,0.85817,0.5777,0.36393,0.823,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,6394.6,0.59854,0.40516,0.86305,0.98816,0.99412,0.99362,0.86793,0.55538,0.35119,0.81814,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,6596.41,0.58324,0.39595,0.86192,0.99047,0.99412,0.99409,0.8643,0.56942,0.35123,0.82041,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,6796.87,0.58242,0.39053,0.86321,0.98785,0.99706,0.99428,0.86043,0.58035,0.35359,0.82297,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,6997.9,0.57998,0.39109,0.86036,0.99348,0.99118,0.99447,0.86945,0.57223,0.34973,0.82097,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,7200.11,0.58913,0.39417,0.86468,0.99123,0.99697,0.9945,0.86379,0.56593,0.34914,0.8226,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,7399.47,0.57361,0.38255,0.8569,0.99122,0.99565,0.99351,0.86875,0.55766,0.34357,0.81831,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,7599.17,0.57527,0.379,0.86362,0.98833,0.99645,0.99396,0.86695,0.5686,0.34454,0.81677,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,7798.86,0.55617,0.37505,0.85657,0.99114,0.99412,0.99418,0.86611,0.56991,0.33688,0.82003,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,7999.08,0.56467,0.3734,0.85176,0.98794,0.99706,0.99462,0.87403,0.55925,0.33377,0.81354,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,8199.1,0.56331,0.37462,0.85561,0.99413,0.99611,0.9941,0.87504,0.57014,0.33836,0.81931,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
